"sentenceA"	"sentenceB"	"label"
"Wenn der Treuhandfonds 2016 anfängt, Bargelddefizite zu verzeichnen, muss die Regierung als Ganzes das Bargeld zur Finanzierung des Bargelddefizits der sozialen Sicherheit bereitstellen, indem sie alle projizierten nicht-sozialen Sicherheitsüberschüsse reduziert, Kredite von der Öffentlichkeit aufnimmt, andere Steuern erhöht oder andere reduziert Staatsausgaben."	"Die Öffentlichkeit würde es im Allgemeinen vorziehen, wenn die Regierung ihre Ausgaben in anderen Bereichen zur Finanzierung der sozialen Sicherheit reduziert."	"neutral"
"Diese Organisationen investieren Zeit und Mühe, um ihre Prozesse zu verstehen und wie diese Prozesse zur Erfüllung der Mission beitragen oder diese behindern."	"Diese Organisationen investieren viel Zeit, um zu verstehen, wie einige Prozesse dazu beitragen oder etwas bewirken können"	"entailment"
"und es ist schön mit dir zu reden"	"Ich rede jeden Tag mit dir."	"neutral"
"Sie haben Zugriff auf die Fakten."	"Die Fakten sind für Sie zugänglich."	"entailment"
"Bauumgebung Engineering Fertigung Produktion (alle Ratenwerkzeuge) (1. Satz Produktionswerkzeuge)"	"Es ist der erste Satz von Produktionswerkzeugen für die Fertigung."	"entailment"
"Solange Sie Ihren eigenen Haushalt in Ordnung haben, ist die Sorge um die Ausgabegewohnheiten Ihres Nachbarn der Sorge um die Farbe seines Wohnzimmerteppichs sehr ähnlich."	"Sie sollten sich um die Farbe des Teppichs Ihres Nachbarn sorgen."	"contradiction"
"Ja, also ähm, natürlich können sie sich dem Militärdienst anschließen. Sie gelten als Bürger, glaube ich"	"Sie können nicht zum Militärdienst gehen"	"contradiction"
"Sie lächelte zurück."	"Sie war so glücklich, dass sie nicht aufhören konnte zu lächeln."	"neutral"
"Laut dem Büro des Aktuars bei der Health Care Financing Administration beträgt der geschätzte Barwert der künftigen zusätzlichen Ressourcen, die allein zur Finanzierung der HI-Leistungen in den 75 Jahren benötigt werden, 4 USD."	"Der Barwert der künftigen zusätzlichen Ressourcen zur Finanzierung von HI-Leistungen betrug 4 USD."	"entailment"
"In Bezug auf die vom Kongress finanzierten Rechtsstreitigkeiten gibt es keinen alternativen Ausdruckskanal für die Interessenvertretung, die der Kongress einschränken möchte."	"Dies ist der einzige Ausdruckskanal für die Interessenvertretung, die der Kongress einschränken möchte."	"entailment"
"Wie beheben wir das? &#39;"	"Können wir das beheben?"	"entailment"
"Das erfordert aber zu viel Planung"	"Es braucht nicht viel Planung."	"contradiction"
"Ich habe Monica in meinem Vortrag nicht erwähnt, aber die erste Frage, die mir gestellt wurde, war, wie Präsident Clinton seine Arbeit mit all den Ablenkungen machen kann, die durch die Monica Lewinsky-Affäre verursacht wurden."	"Sie wollten die Vorlesung ohne Probleme überstehen."	"neutral"
"Bei der Analyse der Postdienstkonten auf Abschreibungen, Treibstoff und Wartung für Stadtzustellunternehmen haben wir die durchschnittlichen Kosten für Stadtzustellfahrzeuge pro Route geschätzt."	"Fahrkostenschätzungen können gemittelt werden, wenn ausreichende Daten vorliegen."	"neutral"
"Weil es meine Kindheitsphantasie beeinflusst."	"Die Kunst spielt mit meiner jungen Fantasie."	"neutral"
"Es ist langsam, es gibt viele bessere Maschinen auf dem Markt"	"Dies ist die schnellste Maschine, Sie werden keine bessere Maschine finden."	"contradiction"
"Im Herzen des Heiligtums befand sich einst in einem kleinen Granitschrein die heilige Bark des Horus."	"Horus ist ein Gott."	"neutral"
"Betrachten Sie den United States Postal Service."	"Vergessen Sie den United States Postal Service."	"contradiction"
"In vollem Kostüm."	"Er trägt ein Maskottchenkostüm."	"neutral"
"Obwohl Ihre Reise schwierig sein wird und Sie manchmal an sich selbst zweifeln werden, sind die Vorteile für die Kunden es wert und die Befriedigung, selbst die widerspenstigsten Gegner zu hören, sagt, dass das neue System besser ist als das vorhergehende, ist zutiefst lohnend."	"Das neue System erscheint weitaus komplexer, aber letztendlich einfacher und gründlicher."	"neutral"
"Nehmen Sie eine bemerkenswerte Statistik, die Shesol zitiert, aber relativ ungeprüft lässt."	"Sie hatten Daten, die sehr relevant waren, aber nicht ausreichend genutzt wurden."	"entailment"
"Es könnte wie ein Manna vom Himmel ausgesehen haben - bis zu Tausenden von Dollar, die diesen Monat oft unerwartet in die Hände einer halben Million Einwohner von Kentucky und Indiana fielen."	"Ein kürzlich vom Kongress vorgeschlagenes Gesetz hat dazu geführt, dass Tausende von Dollar von Einwohnern von Kentucky beschlagnahmt wurden."	"contradiction"
"Lassen Sie Einzelpersonen ihre Zeit investieren, und die Finanzierung wird folgen."	"Wenn Einzelpersonen ihre Zeit investieren, wird auch die Finanzierung mitkommen."	"entailment"
"Ich denke oft, ich wünschte, ich hätte eine Videokamera, weil ich sicher zehntausend Dollar gebrauchen könnte, aber ich mag Dinge wie Evening Shade mit Burt Reynolds. Ich genieße das wirklich und ähm"	"Videokameras, die ich brauche, sind sehr teuer."	"neutral"
"Der Mann am Boden denkt einen Moment nach und schreit zurück: Sie müssen im Management arbeiten."	"Es war niemand am Boden, Mann oder Frau."	"contradiction"
"Wenn die Bewertungsfrage jedoch erfordert, dass das GAO darüber berichtet, wie zufriedenstellend die Fortschritte sind oder welche Gründe für Probleme bei der Umsetzung vorliegen, desto mehr Mitarbeiter können im Laufe der Zeit vor Ort sein, mit der besten oder dicksten Basis für die Prüfung der Situation als die vielen Die Beteiligten sehen es, je solider unsere kausalen Schlussfolgerungen und nachfolgenden Empfehlungen sein werden."	"Wenn das GAO über die Fortschritte berichten muss, sind die Empfehlungen von viel schlechterer Qualität."	"contradiction"
"Die Wirtschaft könnte noch besser sein."	"Die Wirtschaft war noch nie besser."	"contradiction"
"Hügel und Berge sind im Kult des Jainismus besonders geheiligt."	"Der Kult des Jainismus hasst die Natur."	"contradiction"
"Die berühmten Mietshäuser (oder Grundstücke) wurden gebaut."	"Das Land blieb verlassen."	"contradiction"
"Inmitten dieses erstaunlichen Amalgams von Kulturen herrscht eine Leidenschaft für Kontinuität."	"Die Leidenschaft für Kontinuität ist nicht die wichtigste dieser Kulturen."	"neutral"
"Abgesehen von der Bühne als von Pferden gezogenes Transportmittel, einem beliebten Delikatessengeschäft, einem Teil einer Rakete und der Gelegenheit, Gail Sheehy (die von den Teilnehmern des News Quiz eine freie Fahrt zu bekommen scheint) zu verspotten, verlangte diese Frage beinahe die Erfindung eines gewalttätiges Theaterereignis, und das ist nicht einfach."	"Gail Sheehy ist ein beliebtes Ziel, um sich über andere Shows lustig zu machen."	"neutral"
"Bitten an den Eigentümer der Wohnung sind nirgendwo hingegangen."	"Der Eigentümer der Wohnung ist sehr aufmerksam."	"contradiction"
"Mrs. Cavendish ist im Zimmer ihrer Schwiegermutter."	"Mrs. Cavendish hat das Gebäude verlassen."	"contradiction"
"Aber ich dachte, du hättest Kaffee abgeschworen."	"Ich dachte, du hast geschworen, mehr Kaffee zu trinken."	"contradiction"
"Wir stinken die ganze Zeit."	"Wir stinken immer."	"entailment"
"In einer zunehmend voneinander abhängigen Welt können viele dringende Probleme, die Amerikaner betreffen, nur durch die Zusammenarbeit mit anderen Ländern angegangen werden."	"Wir sollten unabhängig sein und uns von Gesprächen und der Arbeit mit anderen Nationen fernhalten."	"contradiction"
"Ca&#39;daan fuhr fort."	"Ca&#39;daan weigerte sich aufzuhören."	"neutral"
"Die Regel sieht vor, dass die Rundfunkveranstalter eine Datei zur öffentlichen Einsichtnahme mit einem Programmbericht für Kinderfernsehen führen und Programme identifizieren, die speziell dazu bestimmt sind, Kinder zu Beginn dieser Programme zu unterrichten und zu informieren, und diese Informationen den Herausgebern von Programmführern zur Verfügung stellen."	"Die Regel sieht vor, dass Rundfunkveranstalter eine Datei über Kinderfernsehprogramme führen."	"entailment"
"Nun, denn wie heiß meine ich wie im kältesten, dass es dort unten im Winter wird, wie viel es ist"	"Es ist die ganze Zeit heiß, wo ich wohne, einschließlich des Winters."	"neutral"
"Jeder der Männer trug Lederrüstungen und war im Stil schwerer Reiter gekleidet."	"Die Männer waren nackt."	"contradiction"
"Der Mann hätte sofort sterben sollen."	"Dem Mann ging es vollkommen gut."	"contradiction"
"Im Sommer bildet der Reis eine grüne, samtige Decke und wird im Herbst golden, wenn er reift und geerntet wird."	"Der Reis ist golden und im Sommer erntbar, wird aber im Herbst grün."	"contradiction"
"So wie die Daily Worker und New Masses, sozialistische Zeitungen aus den 1930er Jahren, mit Zitaten von Marx und Engels gespickt waren, ist Educational Liberator gespickt mit Hinweisen auf ihre libertären Entsprechungen - Friedrich Hayek und Ludwig von Mises."	"Zitate von Marx wurden in den 30er Jahren in sozialistischen Zeitungen verwendet."	"entailment"
"Um sicherzugehen, dass es sich bei allen Handarbeiten um Originalartikel handelt (im Gegensatz zu minderwertigen Importen oder maschinell hergestellten Teilen), suchen Sie nach einem Bleisiegel mit einem M, dem Emblem von IBTAM, das bedeutet, dass es vom Instituto de Bordado, Tapecaras e., Zertifiziert wurde Arte? Sanato da Madeira (Institut für Stickereien, Wandteppiche und Kunsthandwerk Madeiras), eine offizielle Inselorganisation mit einem Ausstellungsraum / Museum in der Rua Visconde de Anadia, 44."	"Es gibt ein Siegel, das die Echtheit von in Italien hergestellten Handarbeiten zeigt."	"neutral"
"Ich mag dieses Multivista-Zeug nicht, denn was ist ein pummeliges System im Vergleich zu einer schönen Überdehnung der Sonne irgendwo über Kuchara, verglichen mit dem goldenen Zwiebelton, der mit den Kse-Fi-Wellen gebraten wurde, verglichen mit der Anzahl der Teiler für Kreditmembranen in einer Brieftasche eines reichen Mannes im Vergleich zu dem herrlichen Geruch einer Briessante-Rolle, die in gesunde Milch getaucht ist, die synthetisch mit Substanzen angereichert ist, die die Sekretion von Glückshormonen fördern, die vor zwei Jahren nicht drei waren «, sagte Gonzo in einem für einen Mann charakteristischen Ton, der gerade eine Lösung für sein Lebensproblem gefunden hat."	"Er mag dieses multivista-Zeug nicht, denn was ist ein pummeliges System im Vergleich zu dem herrlichen Geruch einer Zimtschnecke, die in gesunde Milch getaucht ist."	"entailment"
"Egal, was ich letztendlich getan habe, ich glaube, ich hätte in diesem Beruf einen Weg gefunden, öffentliche Arbeit zu leisten, denn das wurde mir beigebracht, sagte Zelon."	"Dies ist so, als würde man die Position als Bankier nutzen, um die Vorschriften für die Öffentlichkeit zu verbessern."	"neutral"
"Clark drückte auch die Hoffnung aus, dass er und Redgrave ihre Ehe fortsetzen könnten."	"Clark hoffte, dass er ihre Ehe fortsetzen konnte."	"entailment"
"Die Armut zum Beispiel schafft kein Schamgefühl wie für Menschen, die in westlichen Ländern leben."	"Armut schafft in keinem Land ein Gefühl der Schande."	"contradiction"
"Zurück auf dem Weg nach Jaisalmer erfreut ein letzter Farbtupfer die Sinne, bevor Sie in die Felder eintauchen, die mit Hügeln glühender Chilischoten übersät sind."	"Die Straße nach Jaisalmer ist holprig und unangenehm zu befahren."	"neutral"
"Sie lieferten einige, weißt du, sie waren einige Gruppen, die Vicksburg, wenn du jemals die Gelegenheit hast, nach Vicksburg, dem Schlachtfeld von Vicksburg, zu gehen. Es gibt dort ein Gebiet, in dem es einige Texas-Gruppen gab, und sie hatten eine interessante Zeit dort"	"Es gab auch Truppen aus North Carolina in Vicksburg."	"neutral"
"was ich meine ich denke es sollte sowieso sein"	"Ich denke nicht, dass es so sein sollte"	"contradiction"
"Außerdem müssen Vergütungsausschüsse die Auswirkungen der Vergütung verstehen, um Anreize für das Management zu schaffen, das Richtige für das Unternehmen und seine Aktionäre gegenüber sich selbst zu tun."	"Die Auswirkungen der Vergütung, um Anreize für das Management zu schaffen, das Richtige für das Unternehmen und seine Aktionäre gegenüber sich selbst zu tun, sollten von den Vergütungsausschüssen immer ignoriert werden."	"contradiction"
"Der römische Kaiser Gratianus aus dem vierten Jahrhundert war ein früher Besucher, gefolgt von Größen wie dem romantischen Dichter Alphonse de Lamartine, Königin Victoria, Saint-Sa? Ns und Rachmaninow."	"Gratianus war ein römischer Empoeror."	"entailment"
"Also ging ich alleine vor Gericht und sagte ihnen die Wahrheit, aber es half mir nichts."	"Ich ging und sagte die Wahrheit vor Gericht, aber es half mir nichts."	"entailment"
"Klicken Sie auf Weitere Links (auf der rechten Seite unter Verschiedenes) und auf"	"Unter Verschiedenes gibt es keine Links zum Klicken."	"contradiction"
"und so fing ich an es zu schauen und plötzlich blieb nächste Woche dran und ich ging was"	"Ich hätte es nicht gesehen, wenn ich es gewusst hätte."	"neutral"
"nein oh nein oh gut pass auf dich auf"	"Tschüss für heute."	"entailment"
"&#39;Hallo Ben.&#39;"	"Ich habe Ben ignoriert"	"contradiction"
"wie kannst du es beweisen"	"Können Sie mir sagen, wie ich es beweisen soll?"	"entailment"
"Es zeigt alle Arten von Fahrzeugen, von der Kutsche, die Napoleon 1812 nach und von Moskau brachte, bis zu einem prächtigen 4-PS-Renault-Auto aus dem Jahr 1904 und anderen Klassikern der Jahrhundertwende."	"Die Ausstellung zeigt nur Autos aus den 2000er Jahren."	"contradiction"
"Laut dieser Führungskraft haben die Rathaussitzungen dazu beigetragen, die Kundenzufriedenheit zu verbessern, da Veteranen die für sie wichtigsten Bedenken identifizierten, direkten Zugang zu den VBA-Mitarbeitern erhielten, die an ihren Leistungsansprüchen arbeiteten, und den Antragsprozess besser verstehen konnten."	"Die eigenen Hallenversammlungen trugen dazu bei, die Kundenzufriedenheit zu verbessern, sagte der Geschäftsführer."	"entailment"
"Nun, sehen Sie, das ist nicht schlecht ein paar Stunden"	"Ich warte nicht gern, nicht einmal 10 Minuten."	"contradiction"
"Im Osten zogen sich christliche Kräfte zurück, als eine neue muslimische Macht aufstieg."	"Obwohl die christlichen Kräfte stärker waren, befanden sie sich auf dem Rückzug."	"neutral"
"Uns wurde mit einigermaßen hoher Autorität gesagt, dass wahre Nächstenliebe nicht sich selbst rühmt"	"Wahre Nächstenliebe rühmt sich, wurde uns gesagt."	"contradiction"
"Ja und was tun, wenn sie damit konfrontiert sind?"	"Sie werden Gruppenzwang ausgesetzt sein und müssen nein sagen."	"neutral"
"Die Anwälte, die ein Jahr nach Abschluss der Graduiertenschule mit einer durchschnittlichen Verschuldung von knapp 90.000 US-Dollar konfrontiert waren und Gehälter bei Rechtshilfeorganisationen von durchschnittlich 31.000 US-Dollar anfingen, konnten sich den Job nicht leisten."	"Neue Anwälte haben massive Schulden an der juristischen Fakultät."	"entailment"
"Hier sehen Sie unter anderem einen geschrumpften Kopf, eine zweiköpfige Ziege und eine Statue von Marilyn Monroe aus zerfetztem Geld."	"Eine der Kuriositäten ist eine zweiköpfige Ziege."	"entailment"
"Der Richter vom Donnerstag, der ehrenwerte Charles Adams vom Obersten Gerichtshof des Landkreises Coconino, stimmte zu, entmutigte jedoch die Selbstvertretung."	"Die Selbstvertretung wurde von dem ehrenwerten Charles Adams gefördert."	"contradiction"
"Er ist meistens mit einer Gruppe älterer schwarzer Männer aus dem Süden zusammen, die ihn Jumper und Black Cat nennen."	"Die Gruppe von Leuten, mit denen er gerne rumhängt, gab ihm den Spitznamen Jumper."	"entailment"
"Diese elegante Kurstadt am Rande des Lac du Bourget bietet seit Jahrhunderten Heilmittel gegen Rheuma und andere Krankheiten."	"Die Stadt wurde erst in den letzten fünfzig Jahren gegründet."	"contradiction"
"Richtig, gut, es ist eine wunderschöne Stadt, und das Problem ist wie das erste Beispiel, als ich jung war. Sie haben mich nach Las Vegas gebracht, und das war der langweiligste Ort der Welt"	"Ich denke, Las Vegas ist der langweiligste Ort, den ich kenne."	"entailment"
"&#39;Weniger laut."	"Bitte leise sein."	"entailment"
"Ich werde in der Lage sein, meine eigenen Kleider zu machen"	"Ich werde in der Lage sein, meine eigene Kleidung herzustellen."	"entailment"
"Der Fluss spielt bei allen Besuchen in Paris eine zentrale Rolle."	"Der Fluss ist von zentraler Bedeutung für alle Ferien in Paris."	"entailment"
"Sie sollen zweisprachig sein"	"Sie sollen zweisprachig sein"	"entailment"
"Oh, Zarek, aber wird uns passieren?"	"Czarek wurden an diesem Tag keine Fragen gestellt."	"contradiction"
"Es stellte sich heraus, dass ich mich nicht völlig geirrt habe."	"Ich habe mich zu 100 Prozent geirrt."	"contradiction"
"Auf jeden Fall - es ist vorbei. &quot;"	"Es ist vorbei."	"entailment"
"Der Kräuterextrakt zeigt Erfolg bei der Behandlung von leichter Demenz und bei der Vorbeugung von Alzheimer-Gedächtnisverlust."	"Der Kräuterextrakt ist nicht sehr gut bei der Behandlung von Demenz."	"contradiction"
"Nach einem blitzschnellen Sieg über die schlecht vorbereiteten französischen Armeen marschierten die Deutschen nach Paris und belagerten die Stadt, die schließlich im Januar 1871 angesichts schwindender Nahrungsmittelvorräte kapitulierte."	"Paris war unglücklich, sich den Deutschen ergeben zu müssen."	"neutral"
"Deshalb haben Symbole die Kraft, die sie haben."	"Deshalb bewegt mich Gott."	"contradiction"
"Entscheidend für den Produktentwicklungsprozess waren Aktivitäten, die es ermöglichten, spezifisches Konstruktions- und Fertigungswissen zu erfassen und Entscheidungen zu überprüfen, um festzustellen, ob das erfasste Wissen die erhöhten Investitionen unterstützen würde, die erforderlich sind, um in die nächste Entwicklungsphase oder in die Produktion überzugehen."	"Das erfasste Wissen würde bestimmen, ob der nächste Schritt die Weiterentwicklung oder Produktion war."	"entailment"
"Sagte, ich sei dumm stolz."	"Mein Stolz war dumm, nicht gut platziert."	"entailment"
"Das Wort hatte seinen Kopf gefüllt, als hätte das Mädchen direkt in beide Ohren geflüstert."	"Das Mädchen sprach sehr leise."	"entailment"
"und viele ihrer Regeln und Vorschriften sind nicht wirklich klar, deshalb haben wir unseren Umweltmanager, der die TACB in Austin schriftlich unterstützt, und schauen Sie, was wir hier bei TI getan haben"	"Da die Regeln nicht wirklich klar sind, bitten wir unseren Manager um Hilfe."	"entailment"
"Darunter befinden sich der königliche Palast aus rotem Backstein, in dem sich heute das Patan-Museum (Nepals schönstes und modernstes Museum) befindet, und gegenüber dem Palast über den schmalen Backsteinplatz acht Tempel in verschiedenen Stilen und Größen."	"Das Patan Museum befindet sich die Straße hinunter vom königlichen Palast aus rotem Backstein."	"contradiction"
"Ja, es ist ein bisschen wie in Louisiana, wo dieser Typ, der wie ein Mitglied des Ku Klux Klan ist, etwas beängstigend gewählt wurde, wenn man darüber nachdenkt"	"In Ku wurde ein Mitglied des Ku Klux Klan gewählt."	"entailment"
"oder zumindest versuchen sie zuerst etwas dagegen zu unternehmen"	"Sie könnten zumindest versuchen, zuerst etwas dagegen zu unternehmen."	"entailment"
"Ich bin nicht wirklich beeindruckt von Ich meine, ich habe drei Jahre in Deutschland gelebt. Ich war nicht beeindruckt vom Skifahren. Ich mag andere, die Sie als Wintersportler kennen, aber ich bin nicht wirklich begeistert von ihnen"	"Ich bin kein großer Fan von Wintersport."	"entailment"
"Es ist eine Verpflichtung zur allgemeinen Bildung - eine Abfolge von Kursen, die kritisches Denken in einer Vielzahl von Disziplinen entwickeln sollen - im Gegensatz zu einer frühen Spezialisierung."	"Der Schwerpunkt der allgemeinen Bildung liegt auf der Entwicklung der Fähigkeiten der Schüler zum kritischen Denken."	"entailment"
"Theoretisch sind Skaleneffekte bei der Lieferung nicht firmenspezifisch."	"Skaleneffekte sind flexibel."	"neutral"
